title,text,star,tags,air
"第一印象のブキ","第一印象で「この人、このブキ使ってそう！」って思ったのってありました？(笑)",2,初対面;スプラ,はじめまして
"普段の呼び方","普段のVCでは、なんて呼ばれることが多いですか？(あだ名とかも歓迎です！)",1,初対面;VC,はじめまして
"いつからのスプラ勢？","スプラって初代(Wii U)からやってます？それとも2や3からデビューですか？",2,スプラ;初対面,はじめまして
"今いちばんの相棒ブキ","今いちばん使ってて楽しい、または使用度が高い「相棒ブキ」って何ですか？",1,スプラ;定番,はじめまして
"いつもの立ち位置","対戦中って、ガンガン前出るタイプですか？それともカバー重視で後ろ寄りですか？",2,スプラ;立ち回り,はじめまして
"スプラ以外のゲーム","スプラ以外に最近ハマってるゲームとかあります？実は〇〇やってる、とか！",2,初対面;雑談,はじめまして
"今日の調子どう？","ぶっちゃけ今日って調子いい日ですか？(勝ち越せてる？エイム合ってる？笑)",1,雑談;VC,普通
"お気に入りギア","最近「見た目も性能も最高！」って気に入ってるギア構成とかあります？",2,スプラ;ギア,普通
"深夜の飯テロ誘惑","この時間帯って、急にお腹空きません？いま何が一番食べたい気分ですか？",1,雑談;深夜,普通
"ステージの得意不得意","いまのローテーションのステージ、得意な方ですか？それとも鬼門ですか？(笑)",1,スプラ;ステージ,普通
"エイムの浮き沈み","エイムが吸い付く神の日と、全然当たらないダメな日の差、すごくないですか？(笑)",2,スプラ;共感,普通
"思い出のベストフェス","これまで遊んできた中で「一番楽しかった・テーマが熱かった」フェスって何ですか？",2,スプラ;フェス,普通
"VC中のお供ドリンク","VCしながら遊ぶときって、手元に飲み物やお菓子とか準備しておく派ですか？",1,VC;雑談,普通
"バンカラ派？バイト派？","普段はバンカラマッチ(ナワバリ)派ですか？それともサーモンランばっかりやる派ですか？",2,スプラ;定番,普通
"デスした瞬間のクセ","デスした瞬間、ついついコントローラーぎゅって握りしめたり声出たりしちゃいません？(笑)",2,スプラ;共感,普通
"最近のプチハッピー","最近、ちょっとテンションが上がった出来事や、嬉しかったことってありました？",3,深夜;雑談,深夜帯
"エイムの寝落ち限界線","何時くらいになると「あ、もう頭働いてないしエイム崩壊してるな…」ってなります？(笑)",2,深夜;VC,深夜帯
"持ちブキ迷子の夜","たまに「私の持ちブキ、本当にこれで合ってるのかな…？」って迷子になる夜ありません？",2,スプラ;共感,静か
"プレイ中に流す音楽","いつもゲームプレイ中や、まったり遊んでる時って裏でどんな音楽聴いてます？",3,深夜;日常,深夜帯
"ラスト1試合の嘘","「次でラストにします！」って言いつつ、ついつい悔しくて伸びちゃうことありません？(笑)",2,深夜;共感,疲れ気味
"まったりお風呂事情","ゲームやりすぎて肩やバキバキな時、お風呂はシャワー派ですか？しっかり湯船浸かる派？",2,日常;健康,疲れ気味
"いまのデスをスロー解説","さっきの華麗なデスシーン！一体何が起きていたのかスローで教えてもらえます？(笑)",3,ネタ;VC,盛り上がり
"ウルショの雄叫び","ウルトラショット撃つとき、実は心の中(またはミュート中)で何か叫んでたりします？",5,ネタ;スプラ,盛り上がり
"隣の人を他告紹介！","今ここにいるメンバーの誰か1人を指名して、その人を一言で紹介するとしたらどんな感じ？",5,VC;ネタ,盛り上がり
"夢のコラボ企画","もしスプラが他のアニメやゲームとコラボするとしたら、何とコラボしてほしいですか？",4,スプラ;ネタ,盛り上がり
"伝説の編成事故","これまでマッチングして「これはマジで終わった…！」って思ったヤバい編成事故って？",3,スプラ;共感,盛り上がり
"もしオカシラシャケが…","もし現実の街にオカシラシャケが現れたら、どのブキ担いで戦いに行きます？(笑)",4,ネタ;スプラ,盛り上がり
"オリジナルステージ設計","自分がオリジナルの対戦ステージを作れるとしたら、どんな意地悪なギミック置きたいですか？",4,ネタ;スプラ,盛り上がり
"もしイカになれたら","もし本当にイカ(タコ)になってインクの中を泳げるようになったら、最初どこ泳ぎたいですか？",5,ネタ;ロマン,盛り上がり
